Date,Open,High,Low,Close,Adj Close,Volume
2016-06-24,33.610001,37.230000,33.009998,36.720001,36.111412,1709740
2016-06-27,36.180000,36.750000,35.529999,35.720001,35.127983,1084826
2016-06-28,35.799999,36.709999,35.430000,36.189999,35.590191,827743
2016-06-29,36.330002,36.549999,35.820000,35.830002,35.236164,813698
2016-06-30,36.110001,36.650002,35.730000,36.650002,36.042568,639914
2016-07-01,36.740002,37.570000,36.509998,37.250000,36.632622,444731
2016-07-04,37.279999,37.380001,36.820000,37.000000,36.386768,291732
2016-07-05,36.799999,37.020000,36.380001,36.490002,35.885223,444449
2016-07-06,36.060001,36.070000,34.820000,36.029999,35.432846,887148
2016-07-07,36.049999,36.250000,35.459999,35.849998,35.255825,396504
2016-07-08,35.730000,37.549999,35.730000,37.549999,36.927650,556775
2016-07-11,37.500000,38.470001,37.500000,38.259998,37.625885,674869
2016-07-12,38.040001,38.799999,37.880001,38.779999,38.137264,589415
2016-07-13,38.490002,38.900002,37.709999,37.849998,37.222679,543383
2016-07-14,38.349998,38.770000,38.250000,38.619999,37.979919,464415
2016-07-15,38.509998,38.540001,38.060001,38.360001,37.724228,239319
2016-07-18,38.279999,38.740002,38.029999,38.330002,37.694725,258496
2016-07-19,38.139999,38.480000,37.730000,38.450001,37.812740,278922
2016-07-20,38.540001,38.779999,38.160000,38.270000,37.635719,345184
2016-07-21,38.490002,38.950001,38.080002,38.950001,38.304451,408742
2016-07-22,38.779999,39.090000,38.450001,39.090000,38.442127,419052
2016-07-25,38.939999,39.450001,38.799999,39.330002,38.678150,406846
2016-07-26,39.500000,39.860001,39.020000,39.720001,39.061687,568458
2016-07-27,39.740002,41.000000,39.740002,40.970001,40.290970,1090174
2016-07-28,40.560001,40.750000,39.310001,39.759998,39.101021,716723
2016-07-29,39.889999,40.910000,39.799999,40.439999,39.769753,697432
2016-08-01,40.299999,40.900002,40.150002,40.500000,39.828758,391632
2016-08-02,40.980000,41.849998,39.099998,41.520000,40.831856,1336961
2016-08-03,41.520000,42.330002,40.099998,41.939999,41.244892,1253563
2016-08-04,41.939999,42.639999,41.619999,41.630001,40.940033,750311
2016-08-05,41.689999,42.590000,41.660000,42.450001,41.746441,451040
2016-08-08,42.400002,43.189999,42.400002,42.750000,42.041466,550443
2016-08-09,42.750000,43.150002,42.560001,42.950001,42.238155,488979
2016-08-10,42.790001,43.160000,42.540001,43.049999,42.336498,514112
2016-08-11,42.950001,43.169998,42.599998,43.049999,42.336498,535546
2016-08-12,43.080002,43.490002,42.970001,43.450001,42.729870,536578
2016-08-16,43.049999,43.299999,42.200001,42.369999,41.667767,583152
2016-08-17,42.650002,42.869999,41.840000,42.599998,41.893951,506714
2016-08-18,42.849998,42.990002,42.299999,42.689999,41.982460,299398
2016-08-19,42.279999,42.599998,41.650002,42.529999,41.825115,522464
2016-08-22,42.430000,42.889999,42.160000,42.830002,42.120144,385038
2016-08-23,42.849998,43.380001,42.790001,43.130001,42.415173,434038
2016-08-24,42.980000,43.689999,42.750000,43.049999,42.336498,468468
2016-08-25,42.900002,43.090000,42.380001,42.799999,42.090637,415056
2016-08-26,42.950001,43.200001,42.500000,43.020000,42.306995,271848
2016-08-29,43.400002,43.500000,42.810001,43.250000,42.533184,504208
2016-08-30,43.480000,43.689999,43.340000,43.400002,42.680698,498864
2016-08-31,43.439999,43.599998,43.110001,43.200001,42.484013,550256
2016-09-01,43.169998,43.680000,42.830002,42.830002,42.120144,509147
2016-09-02,43.099998,43.330002,42.599998,43.299999,42.582355,487258
2016-09-05,43.279999,43.500000,43.000000,43.270000,42.552849,242733
2016-09-06,43.200001,43.430000,42.959999,43.169998,42.454506,294315
2016-09-07,43.380001,44.570000,43.070000,44.480000,43.742794,888140
2016-09-08,44.060001,44.299999,43.220001,43.799999,43.074066,615488
2016-09-09,43.750000,44.000000,43.259998,43.330002,42.611858,485248
2016-09-12,42.669998,42.950001,41.950001,42.939999,42.228317,542948
2016-09-13,43.000000,43.119999,42.250000,42.349998,41.648094,412675
2016-09-14,42.650002,42.799999,42.189999,42.299999,41.598923,386281
2016-09-15,42.160000,42.700001,41.520000,42.500000,41.795609,422491
2016-09-16,42.200001,42.639999,41.369999,41.560001,40.871193,694629
2016-09-19,41.779999,42.869999,41.669998,42.820000,42.110310,436839
2016-09-20,42.759998,42.880001,42.259998,42.459999,41.756275,354062
2016-09-21,42.900002,43.930000,42.820000,43.790001,43.064232,771449
2016-09-22,43.790001,45.000000,43.790001,44.860001,44.116497,978056
2016-09-23,44.950001,45.400002,44.730000,45.139999,44.391857,766256
2016-09-26,44.720001,44.759998,43.799999,44.669998,43.929646,667741
2016-09-27,44.709999,45.189999,44.360001,44.799999,44.057491,598328
2016-09-28,44.720001,45.580002,44.480000,45.450001,44.696720,553470
2016-09-29,45.759998,46.230000,45.180000,45.500000,44.745892,688301
2016-09-30,44.849998,46.419998,44.799999,46.230000,45.463791,864099
2016-10-03,46.200001,46.490002,45.869999,46.470001,45.699818,452161
2016-10-04,46.270000,47.480000,46.270000,47.349998,46.565224,794433
2016-10-05,47.169998,47.849998,46.669998,47.669998,46.879925,1001392
2016-10-06,47.520000,47.889999,47.419998,47.700001,46.909431,602060
2016-10-07,47.740002,47.980000,47.430000,47.900002,47.106117,485401
2016-10-10,47.619999,48.990002,47.619999,48.200001,47.401142,661147
2016-10-11,48.320000,48.549999,48.000000,48.080002,47.283131,519780
2016-10-12,48.000000,48.299999,47.900002,48.250000,47.450314,473192
2016-10-13,47.990002,48.169998,47.599998,47.959999,47.165119,763692
2016-10-14,47.279999,48.259998,47.160000,48.099998,47.302799,800393
